objectID,post_title,url,ingredient,label,quantity,type,section,label_zone,label_qte,label_unite,label_unite_gr,section_zone,section_qte,section_unite,aliment,kcal_100gr,quantity_gr,quantity_kcal,label_qte_gr,proteine_100gr,glucides_100gr,calcium_100gr,quantity_calcium
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,,"<p>Eau pétillante ou vin mousseux</p>
",,ingredient,,,,,,,1,,,,,,,,,,
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,,"<p>Garniture : 1 Pince de homard, 3 salicornes et 1 rondelle de citron </p>
",,section,Garnitures,1 rondelle,"0,05",rondelle,2,,1,,,,"0,1",,"0,1",,,,
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,,"<p>1 pince de homard</p>
",,ingredient,,1 pince de homard,1,pince de homard,70,,1,,,,70,,70,,,,
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,,"<p>3 tiges de salicorne</p>
",,ingredient,,3 tiges de salicorne,3,tige,10,,1,,,,30,,30,,,,
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,,"<p>1 rondelle de citron</p>
",,ingredient,,1 rondelle,"0,05",rondelle,2,,1,,,,"0,1",,"0,1",,,,
cocktail_1152,Sour gin gingembre et lilas,https://1ou2cocktails.com/cocktails/sour-gin-gingembre-lilas/,"<p>1,5 oz de gin, Cirka</p>
",,,section,Pour 1 verre,,,,,1 verre,1,verre,Gin,265,,,,0,0,0,
cocktail_1152,Sour gin gingembre et lilas,https://1ou2cocktails.com/cocktails/sour-gin-gingembre-lilas/,"<p>de gin, Cirka</p>
",,"1,5",ingredient,,,,,,,1,,Gin,265,"42,52",,,0,0,0,0
cocktail_1152,Sour gin gingembre et lilas,https://1ou2cocktails.com/cocktails/sour-gin-gingembre-lilas/,"<p>de vermouth blanc, Rouge-Gorge Blanc</p>
",,"0,5",ingredient,,,,,,,1,,"Oeuf, blanc (blanc d'oeuf), cru","48,1","14,17",,,"10,8","0,85",6,"0,85"
cocktail_1152,Sour gin gingembre et lilas,https://1ou2cocktails.com/cocktails/sour-gin-gingembre-lilas/,"<p>de jus de lime frais</p>
",,"0,75",ingredient,,,,,,,1,,"Jus de citron vert, pur jus",,"21,26",,,"0,25","1,24",12,"2,55"
cocktail_1152,Sour gin gingembre et lilas,https://1ou2cocktails.com/cocktails/sour-gin-gingembre-lilas/,"<p>de <a href=""https://1ou2cocktails.com/cocktails/sirop-de-miel/"">sirop de miel</a></p>
",,"0,5",ingredient,,,,,,,1,,Miel,,"14,17",,,"0,56","81,7","7,93","1,12"
cocktail_1152,Sour gin gingembre et lilas,https://1ou2cocktails.com/cocktails/sour-gin-gingembre-lilas/,,"<p>3 Tranches de gingembre frais</p>
",,ingredient,,3 Tranches,3,Tranche,,,1,,,,,,,,,,
cocktail_1152,Sour gin gingembre et lilas,https://1ou2cocktails.com/cocktails/sour-gin-gingembre-lilas/,,,,section,Garniture,,,,,,1,,,,,,,,,,
cocktail_1152,Sour gin gingembre et lilas,https://1ou2cocktails.com/cocktails/sour-gin-gingembre-lilas/,,"<p>1 petit bouquet de lilas</p>
",,ingredient,,1 petit bouquet de lilas,1,bouquet,20,,1,,,,20,,20,,,,
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,"<p>(3 tasses) de vin rosé, Gallo Family</p>
",,24,section,Pour 4 à 6 verres,,,,,4 à 6 verres,4,verre,Vin rosé,,"170,0975",,,0,"1,6",12,"20,41"
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,"<p>(1 bouteille) de vin rosé, Gallo Family</p>
",,26,ingredient,,,,,,,4,,Vin rosé,,"184,2725",,,0,"1,6",12,"22,11"
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,"<p>de rhum épicé, Chic Choc</p>
",,3,ingredient,,,,,,,4,,Rhum,256,"21,2625",,,0,0,0,0
cocktail_422,Sangria Rosée,https://1ou2cocktails.com/cocktails/sangria-rosee/,"<p>(1 ? tasse) de limonade</p>
",,11,ingredient,,,,,,,4,,"Limonade, sucrée",,"77,96",,,"0,04","8,45","6,52","5,08"
