Category,Nutrient,Target population,Age,Gender,AI,AR,PRI,RI,UL,Safe and adequate intake,Years,PAL
Energy,Energy,Adults,30–39 years PAL=1.8,Female,NA ,2340.534,NA. ,NA ,NA ,,30–39,1.8
Energy,Energy,Adults,30–39 years PAL=2.0,Female,NA ,2579.3640000000005,NA. ,NA ,NA ,,30–39,2.0
Energy,Energy,Adults,40–49 years PAL=1.4,Female,NA ,1791.2250000000001,NA. ,NA ,NA ,,40–49,1.4
Energy,Energy,Adults,40–49 years PAL=1.6,Female,NA ,2053.938,NA. ,NA ,NA ,,40–49,1.6
Energy,Energy,Adults,40–49 years PAL=1.8,Female,NA ,2316.651,NA. ,NA ,NA ,,40–49,1.8
Energy,Energy,Adults,40–49 years PAL=2.0,Female,NA ,2555.4809999999998,NA. ,NA ,NA ,,40–49,2.0
Energy,Energy,Adults,50–59 years PAL=1.4,Female,NA ,1791.2250000000001,NA. ,NA ,NA ,,50–59,1.4
Energy,Energy,Adults,50–59 years PAL=1.6,Female,NA ,2030.055,NA. ,NA ,NA ,,50–59,1.6
Energy,Energy,Adults,50–59 years PAL=1.8,Female,NA ,2292.768,NA. ,NA ,NA ,,50–59,1.8
Energy,Energy,Adults,50–59 years PAL=2.0,Female,NA ,2555.4809999999998,NA. ,NA ,NA ,,50–59,2.0
Energy,Energy,Adults,60–69 years PAL=1.4,Female,NA ,1624.044,NA. ,NA ,NA ,,60–69,1.4
Energy,Energy,Adults,60–69 years PAL=1.6,Female,NA ,1862.874,NA. ,NA ,NA ,,60–69,1.6
Energy,Energy,Adults,60–69 years PAL=1.8,Female,NA ,2101.704,NA. ,NA ,NA ,,60–69,1.8
Energy,Energy,Adults,60–69 years PAL=2.0,Female,NA ,2316.651,NA. ,NA ,NA ,,60–69,2.0
Energy,Energy,Adults,70–79 years PAL=1.4,Female,NA ,1624.044,NA. ,NA ,NA ,,70–79,1.4
Energy,Energy,Adults,70–79 years PAL=1.6,Female,NA ,1838.9910000000002,NA. ,NA ,NA ,,70–79,1.6
